,Marginal,Node,Level,Branch,OR_Details,Additional_Stat,Tree
40,-61.77965906842087,RFPL2,18,1,"['RFPL2', 8, 0, 21, 82, inf]",-61.77965906842087,25
41,-49.83400508866479,ATRX,19,0,"['ATRX', 7, 0, 14, 82, inf]",-49.83400508866479,25
42,-41.50226129769222,0,19,0,"['ATRX', 0, 0, 14, 82, nan]",-41.50226129769222,25
43,-7.833082990715454,0,19,1,"['ATRX', 7, 0, 0, 0, nan]",-7.833082990715454,25
44,-7.663183953920055,0,18,1,"['RFPL2', 8, 0, 0, 0, nan]",-7.663183953920055,25
45,-7.529652561295534,0,16,1,"['POU5F2', 6, 1, 0, 0, nan]",-7.529652561295534,25
46,-70.5356631954298,LHX8,16,1,"['LHX8', 6, 3, 12, 435, 72.5]",-70.5356631954298,25
47,-57.01649589538788,ANKFN1,17,0,"['ANKFN1', 3, 2, 9, 433, 72.166664]",-57.01649589538788,25
48,-46.051905924715726,GABRB1,18,0,"['GABRB1', 3, 3, 6, 430, 71.666664]",-46.051905924715726,25
49,-35.11491334516256,0,18,0,"['GABRB1', 0, 0, 6, 430, nan]",-35.11491334516256,25
50,-8.238548098823617,0,18,1,"['GABRB1', 3, 3, 0, 0, nan]",-8.238548098823617,25
51,-7.663183953920056,0,17,1,"['ANKFN1', 3, 2, 0, 0, nan]",-7.663183953920056,25
52,-8.222799741855479,0,16,1,"['LHX8', 6, 3, 0, 0, nan]",-8.222799741855479,25
53,-7.78096698957644,0,14,1,"['SLC43A2', 7, 3, 0, 0, nan]",-7.78096698957644,25
54,-19.17766055900021,NEXMIF,14,1,"['NEXMIF', 6, 0, 6, 13, inf]",-19.17766055900021,25
55,-10.9055321349734,0,14,0,"['NEXMIF', 0, 0, 6, 13, nan]",-10.9055321349734,25
56,-6.261141235832027,0,14,1,"['NEXMIF', 6, 0, 0, 0, nan]",-6.261141235832027,25
57,-58.77405427547343,MUC5B,13,1,"['MUC5B', 6, 0, 22, 71, inf]",-58.77405427547343,25
58,-51.265341540476825,0,13,0,"['MUC5B', 0, 0, 22, 71, nan]",-51.265341540476825,25
59,-5.973459163380246,0,13,1,"['MUC5B', 6, 0, 0, 0, nan]",-5.973459163380246,25
60,-7.035703807877479,0,11,1,"['NUP58', 8, 3, 0, 0, nan]",-7.035703807877479,25
61,-256.83459550237905,ZBTB24,11,1,"['ZBTB24', 8, 0, 94, 439, inf]",-256.83459550237905,25
62,-244.6555352568841,GAB4,12,0,"['GAB4', 7, 0, 87, 439, inf]",-244.6555352568841,25
63,-235.55112616266595,CEP162,13,0,"['CEP162', 5, 0, 82, 439, inf]",-235.55112616266595,25
64,-226.47903438424768,OR4F15,14,0,"['OR4F15', 5, 0, 77, 439, inf]",-226.47903438424768,25
65,-217.1324522154486,C5,15,0,"['C5', 5, 0, 72, 439, inf]",-217.1324522154486,25
66,-209.31820751629823,0,15,0,"['C5', 0, 0, 72, 439, nan]",-209.31820751629823,25
67,-6.39467262845655,0,15,1,"['C5', 5, 0, 0, 0, nan]",-6.39467262845655,25
68,-6.106990556004769,0,14,1,"['OR4F15', 5, 0, 0, 0, nan]",-6.106990556004769,25
69,-5.819308483552988,0,13,1,"['CEP162', 5, 0, 0, 0, nan]",-5.819308483552988,25
70,-5.819308483552987,0,12,1,"['GAB4', 7, 0, 0, 0, nan]",-5.819308483552987,25
71,-5.6494094467575895,0,11,1,"['ZBTB24', 8, 0, 0, 0, nan]",-5.6494094467575895,25
72,-33.30227710626164,UNC93B1,10,1,"['UNC93B1', 6, 0, 13, 31, inf]",-33.30227710626164,25
73,-27.914101457468604,0,10,0,"['UNC93B1', 0, 0, 13, 31, nan]",-27.914101457468604,25
74,-5.110412946024903,0,10,1,"['UNC93B1', 6, 0, 0, 0, nan]",-5.110412946024903,25
75,-12.986102190033035,GIGYF1,9,1,"['GIGYF1', 0, 5, 11, 3, 0.0]",-12.986102190033035,25
76,-6.748021735425697,0,9,0,"['GIGYF1', 0, 0, 11, 3, nan]",-6.748021735425697,25
77,-4.668580193745864,0,9,1,"['GIGYF1', 0, 5, 0, 0, nan]",-4.668580193745864,25
78,-10.4423550402221,ABCB5,8,1,"['ABCB5', 0, 3, 10, 2, 0.0]",-10.4423550402221,25
79,-6.085646213532508,0,8,0,"['ABCB5', 0, 0, 10, 2, nan]",-6.085646213532508,25
80,-3.975433013185919,0,8,1,"['ABCB5', 0, 3, 0, 0, nan]",-3.975433013185919,25
81,-27.888884365482014,DGKZ,7,1,"['DGKZ', 3, 0, 4, 250, inf]",-27.888884365482014,25
82,-18.27398064485332,SORBS2,8,0,"['SORBS2', 3, 3, 1, 247, 247.0]",-18.27398064485332,25
83,-8.795714578791092,0,8,0,"['SORBS2', 0, 0, 1, 247, nan]",-8.795714578791092,25
84,-5.36172737430581,0,8,1,"['SORBS2', 3, 3, 0, 0, nan]",-5.36172737430581,25
85,-3.687750940734138,0,7,1,"['DGKZ', 3, 0, 0, 0, nan]",-3.687750940734138,25
86,-21.857851736608964,PIK3CA,6,1,"['PIK3CA', 4, 14, 13, 3, 0.06593407]",-21.857851736608964,25
87,-8.459494326548048,0,6,0,"['PIK3CA', 0, 0, 13, 3, nan]",-8.459494326548048,25
88,-8.88070779162435,0,6,1,"['PIK3CA', 4, 14, 0, 0, nan]",-8.88070779162435,25
89,-54.825978909826254,DHX37,5,1,"['DHX37', 6, 0, 27, 49, inf]",-54.825978909826254,25
90,-48.96793189847368,CATSPERE,6,0,"['CATSPERE', 23, 23, 4, 26, 6.4999995]",-48.96793189847368,25
91,-10.028110244461896,POLG,7,0,"['POLG', 3, 0, 1, 26, inf]",-10.028110244461896,25
92,-6.290440626178515,0,7,0,"['POLG', 0, 0, 1, 26, nan]",-6.290440626178515,25
93,-3.687750940734138,0,7,1,"['POLG', 3, 0, 0, 0, nan]",-3.687750940734138,25
94,-32.13532008975464,PLEKHG6,7,1,"['PLEKHG6', 0, 7, 23, 16, 0.0]",-32.13532008975464,25
95,-27.12040823889112,0,7,0,"['PLEKHG6', 0, 0, 23, 16, nan]",-27.12040823889112,25
96,-4.380898121294083,0,7,1,"['PLEKHG6', 0, 7, 0, 0, nan]",-4.380898121294083,25
97,-3.672002583765999,0,5,1,"['DHX37', 6, 0, 0, 0, nan]",-3.672002583765999,25
98,-292.22319074328954,CFL1P1,4,1,"['CFL1P1', 11, 128, 126, 268, 0.1827877]",-292.22319074328954,25
99,-242.62006740133475,ATRX,5,0,"['ATRX', 13, 2, 113, 266, 15.300885]",-242.62006740133475,25
100,-227.7968730464761,ATXN2L,6,0,"['ATXN2L', 8, 0, 105, 266, inf]",-227.7968730464761,25
101,-218.9647620008637,ZNF568,7,0,"['ZNF568', 7, 0, 98, 266, inf]",-218.9647620008637,25
102,-209.8497078579628,CAPN5,8,0,"['CAPN5', 10, 2, 88, 264, 15.0]",-209.8497078579628,25
103,-195.553429719983,ARHGEF5,9,0,"['ARHGEF5', 7, 0, 81, 264, inf]",-195.553429719983,25
104,-188.1967015766485,HOMER1,10,0,"['HOMER1', 5, 0, 76, 264, inf]",-188.1967015766485,25
105,-180.873838728182,PHOX2B,11,0,"['PHOX2B', 5, 0, 71, 264, inf]",-180.873838728182,25
106,-173.27534260522677,HS6ST1,12,0,"['HS6ST1', 5, 0, 66, 264, inf]",-173.27534260522677,25
107,-165.6945240457429,RSPH6A,13,0,"['RSPH6A', 7, 2, 59, 262, 15.542374]",-165.6945240457429,25
108,-154.77244351930588,ARID1A,14,0,"['ARID1A', 22, 38, 37, 224, 3.5049787]",-154.77244351930588,25
109,-107.3300166654571,VRTN,15,0,"['VRTN', 5, 1, 32, 223, 34.84375]",-107.3300166654571,25
110,-96.81324456645012,MORC4,16,0,"['MORC4', 5, 1, 27, 222, 41.11111]",-96.81324456645012,25
111,-87.55093241034274,TOE1,17,0,"['TOE1', 4, 1, 23, 221, 38.434784]",-87.55093241034274,25
112,-78.60328269008484,0,17,0,"['TOE1', 0, 0, 23, 221, nan]",-78.60328269008484,25
113,-7.480862397126101,0,17,1,"['TOE1', 4, 1, 0, 0, nan]",-7.480862397126101,25
114,-7.375501881468276,0,16,1,"['MORC4', 5, 1, 0, 0, nan]",-7.375501881468276,25
115,-7.087819809016495,0,15,1,"['VRTN', 5, 1, 0, 0, nan]",-7.087819809016495,25
116,-40.57009317525776,0,14,1,"['ARID1A', 22, 38, 0, 0, nan]",-40.57009317525776,25
117,-7.205602844672878,0,13,1,"['RSPH6A', 7, 2, 0, 0, nan]",-7.205602844672878,25
118,-5.531626411101208,0,12,1,"['HS6ST1', 5, 0, 0, 0, nan]",-5.531626411101208,25
119,-5.243944338649426,0,11,1,"['PHOX2B', 5, 0, 0, 0, nan]",-5.243944338649426,25
120,-4.956262266197646,0,10,1,"['HOMER1', 5, 0, 0, 0, nan]",-4.956262266197646,25
121,-4.956262266197645,0,9,1,"['ARHGEF5', 7, 0, 0, 0, nan]",-4.956262266197645,25
122,-6.085646213532508,0,8,1,"['CAPN5', 10, 2, 0, 0, nan]",-6.085646213532508,25
123,-4.380898121294083,0,7,1,"['ZNF568', 7, 0, 0, 0, nan]",-4.380898121294083,25
124,-4.210999084498685,0,6,1,"['ATXN2L', 8, 0, 0, 0, nan]",-4.210999084498685,25
125,-5.463762052994057,0,5,1,"['ATRX', 13, 2, 0, 0, nan]",-5.463762052994057,25
126,-36.23154743941371,HMBOX1,5,1,"['HMBOX1', 3, 0, 8, 128, inf]",-36.23154743941371,25
127,-28.442674319678925,FLNC,6,0,"['FLNC', 4, 3, 4, 125, 41.666664]",-28.442674319678925,25
128,-18.314316707102723,NOX3,7,0,"['NOX3', 2, 1, 2, 124, 124.0]",-18.314316707102723,25
129,-12.65919940442786,SYBU,8,0,"['SYBU', 1, 0, 1, 124, inf]",-12.65919940442786,25
130,-8.110599569928183,0,8,0,"['SYBU', 0, 0, 1, 124, nan]",-8.110599569928183,25
